"created_at","bpp_details.bpp_id","location_details.address.name"
"Jul 10, 2025 @ 12:38:35.015","webapi.magicpin.in/oms_partner/ondc","Quick Bites Veg 100%"
"Jul 10, 2025 @ 12:38:34.872","webapi.magicpin.in/oms_partner/ondc","Mealful Rolls - India's Biggest Rolls"
"Jul 10, 2025 @ 12:38:34.858","webapi.magicpin.in/oms_partner/ondc","GLOBO Ice Creams Of The World"
"Jul 10, 2025 @ 12:38:34.837","webapi.magicpin.in/oms_partner/ondc","Itminaan Matka Biryani - Slow Cooked"
"Jul 10, 2025 @ 12:38:34.414","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:32.934","webapi.magicpin.in/oms_partner/ondc","Rolls & Bowls Company"
"Jul 10, 2025 @ 12:38:32.465","webapi.magicpin.in/oms_partner/ondc","Hola Pasta - Fresh Gourmet Pasta"
"Jul 10, 2025 @ 12:38:32.277","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:32.183","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:31.582","webapi.magicpin.in/oms_partner/ondc","Bhatti Chicken - Grilled, NOT Fried!"
"Jul 10, 2025 @ 12:38:31.575","webapi.magicpin.in/oms_partner/ondc","ZAZA Mughal Biryani"
"Jul 10, 2025 @ 12:38:30.655","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:29.934","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:29.235","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:28.504","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:27.685","webapi.magicpin.in/oms_partner/ondc","Hola Pasta - Fresh Gourmet Pasta"
"Jul 10, 2025 @ 12:38:27.282","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:26.968","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:26.617","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:25.236","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:24.613","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:23.925","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:23.801","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:22.752","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:22.524","webapi.magicpin.in/oms_partner/ondc","Whhite Paani Food Chain"
"Jul 10, 2025 @ 12:38:22.280","webapi.magicpin.in/oms_partner/ondc",Locally
"Jul 10, 2025 @ 12:38:20.012","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:18.495","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:18.238","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:18.103","webapi.magicpin.in/oms_partner/ondc","Frinza Cake"
"Jul 10, 2025 @ 12:38:17.655","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:15.633","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:15.432","webapi.magicpin.in/oms_partner/ondc","Sri Gurudev Darshini"
"Jul 10, 2025 @ 12:38:15.431","webapi.magicpin.in/oms_partner/ondc","Jodhpur Sweets And Snacks"
"Jul 10, 2025 @ 12:38:14.130","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:12.452","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:09.922","webapi.magicpin.in/oms_partner/ondc","Voosh Desi Parathas"
"Jul 10, 2025 @ 12:38:09.435","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:08.875","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:08.248","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:07.253","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:05.783","biz.enstore.com","-"
"Jul 10, 2025 @ 12:38:04.016","webapi.magicpin.in/oms_partner/ondc","Itminaan Matka Biryani - Slow Cooked"
"Jul 10, 2025 @ 12:38:03.998","webapi.magicpin.in/oms_partner/ondc","Hippie At Heart"
"Jul 10, 2025 @ 12:38:03.976","webapi.magicpin.in/oms_partner/ondc",Flechazo
"Jul 10, 2025 @ 12:38:03.937","webapi.magicpin.in/oms_partner/ondc","Itminaan Matka Biryani - Slow Cooked"
"Jul 10, 2025 @ 12:38:03.606","webapi.magicpin.in/oms_partner/ondc","Andhra Gunpowder"
"Jul 10, 2025 @ 12:38:03.358","webapi.magicpin.in/oms_partner/ondc","Creative Chef Bakers"
"Jul 10, 2025 @ 12:38:03.270","webapi.magicpin.in/oms_partner/ondc",Sweetfry
"Jul 10, 2025 @ 12:38:03.263","webapi.magicpin.in/oms_partner/ondc",Momoya
"Jul 10, 2025 @ 12:38:03.231","webapi.magicpin.in/oms_partner/ondc","Ydk (Yoodley Doodlers Kitchen)"
"Jul 10, 2025 @ 12:38:03.230","webapi.magicpin.in/oms_partner/ondc","Roll Corner"
"Jul 10, 2025 @ 12:38:02.871","webapi.magicpin.in/oms_partner/ondc","China Belly By Wow! Momo"
"Jul 10, 2025 @ 12:38:01.410","webapi.magicpin.in/oms_partner/ondc","Awesome Rolls & Burgers"
"Jul 10, 2025 @ 12:38:01.406","webapi.magicpin.in/oms_partner/ondc","Wrap N Rolls"
"Jul 10, 2025 @ 12:38:00.869","webapi.magicpin.in/oms_partner/ondc","Fruit Squeeze"
"Jul 10, 2025 @ 12:38:00.278","webapi.magicpin.in/oms_partner/ondc","Eat Well"
"Jul 10, 2025 @ 12:38:00.271","webapi.magicpin.in/oms_partner/ondc","Punjabi Darbar Rasoi King"
"Jul 10, 2025 @ 12:38:00.246","webapi.magicpin.in/oms_partner/ondc","Hotel Malabar"
"Jul 10, 2025 @ 12:37:59.603","webapi.magicpin.in/oms_partner/ondc","Bheemavarma's Biryani"
"Jul 10, 2025 @ 12:37:59.591","webapi.magicpin.in/oms_partner/ondc","Twilight Global Restaurant"
"Jul 10, 2025 @ 12:37:59.208","webapi.magicpin.in/oms_partner/ondc","Pudding Jar"
"Jul 10, 2025 @ 12:37:58.513","webapi.magicpin.in/oms_partner/ondc","Tasty Pizza And Chats"
"Jul 10, 2025 @ 12:37:57.855","webapi.magicpin.in/oms_partner/ondc","Fusion Theory"
"Jul 10, 2025 @ 12:37:56.956","webapi.magicpin.in/oms_partner/ondc","Nepali Momo Center"
"Jul 10, 2025 @ 12:37:56.954","webapi.magicpin.in/oms_partner/ondc","Karnataka Biriyani Paradise"
"Jul 10, 2025 @ 12:37:56.944","webapi.magicpin.in/oms_partner/ondc","Kolkata Rolls"
